00000100.png  475.29,220.5;1265.53,211.6;1299.3,847.14;472.83,872.72;0;0.251135;-0.212681,0.726729,0.158443;0.513945,-0.470497,0.54008,0.472023;-0.101461,0.118813,-0.0025871;0.000796683,0.000683457,0.00231906;3.02577;0.250191;
00000133.png  480.74,216.04;1268.19,209.18;1303.27,845.55;476.87,870.1;0;0.251199;-0.214895,0.727834,0.155408;0.513936,-0.469307,0.540716,0.47249;-0.0670886,0.0334743,-0.0919573;-0.00237283,0.000900194,0.00130939;3.02395;0.277966;
00000166.png  486.61,212.91;1273.69,206.81;1307.17,842.4;481.99,864.85;0;0.250369;-0.21676,0.728683,0.154146;0.514665,-0.468881,0.540329,0.472562;-0.0565147,0.0257456,-0.0382355;0.000517788,0.00165644,0.00067822;3.02402;0.260741;
00000200.png  492.31,206.25;1278.3,204.6;1313.33,839.57;488.92,860.68;0;0.25043;-0.217638,0.728766,0.145758;0.512729,-0.466596,0.541892,0.475132;-0.0258355,0.00242275,-0.246725;-0.00841002,0.000868492,-0.000761802;3.02158;0.361388;
00000233.png  500.95,206.16;1286.77,202.65;1320.56,838.64;495.53,858.75;0;0.250335;-0.219484,0.728541,0.145424;0.514153,-0.466731,0.54121,0.474237;-0.0559498,-0.00680757,-0.0100967;0.00305336,0.00127758,0.00151175;3.02178;0.290681;
00000266.png  510.47,207.39;1294.33,204.33;1327.48,840.23;503.58,859.56;0;0.249746;-0.219659,0.729108,0.143697;0.514961,-0.466734,0.540596,0.474058;-0.00528269,0.017195,-0.0523537;0.00152593,0.00133699,0.000362037;3.02215;0.282674;
00000300.png  519.89,208.79;1302.12,211.65;1336.74,846.39;514.26,864.96;0;0.249806;-0.217342,0.729226,0.131363;0.512064,-0.46359,0.542879,0.477658;0.0681399,0.0034448,-0.362746;-0.0119849,0.00085884,-0.00119319;3.01773;0.423816;
00000333.png  534.66,219.9;1325.48,222.13;1356.64,859.98;529.61,876.23;0;0.252478;-0.211802,0.726926,0.127492;0.512711,-0.464273,0.541243,0.478156;0.167865,-0.0696869,-0.117306;0.00236744,0.00218599,-0.00220321;3.02345;0.364736;
00000367.png  558.83,230.74;1337.96,237.77;1368.7,868.6;550.56,882.43;0;0.246996;-0.21084,0.731243,0.116613;0.51292,-0.461071,0.54253,0.47957;0.0282929,0.126974,-0.319977;-0.00591068,0.00328265,0.00317742;3.01478;0.415076;
00000400.png  572.06,233.17;1347.91,246.52;1376.12,874.42;563.15,883.85;0;0.244907;-0.208602,0.734352,0.105098;0.511811,-0.457734,0.543392,0.482964;0.0678156,0.0942133,-0.348949;-0.00896192,0.00424032,-0.000455241;3.01209;0.488989;
00000433.png  582.63,238.65;1357.65,255.63;1382.04,883.53;568.64,891.24;0;0.245209;-0.204473,0.735316,0.0989584;0.511698,-0.456121,0.54252,0.485584;0.125135,0.0292063,-0.186042;-0.00374623,0.00472776,-0.00214205;3.0139;0.504936;
00000467.png  589.27,239.28;1361.61,265.58;1385.93,893.62;573.45,892.98;0;0.244876;-0.20786,0.734212,0.0877487;0.512037,-0.449422,0.545429,0.488207;-0.0996072,-0.0324775,-0.329697;-0.012277,0.00628936,0.00714411;2.99623;0.556859;
00000500.png  594.46,240.94;1367.72,273.11;1387.86,899.6;573.09,896.32;0;0.24543;-0.209076,0.732946,0.0827032;0.513304,-0.445461,0.545918,0.489955;-0.0368515,-0.0383547,-0.152894;-0.00531386,0.00632097,0.00376575;2.99304;0.555704;
00000533.png  597.29,238.7;1368.69,279.48;1384.45,904.64;571.2,897.49;0;0.245359;-0.207823,0.731978,0.0746243;0.512276,-0.441013,0.546514,0.494372;0.0379569,-0.0293165,-0.244817;-0.0109304,0.00655886,-0.000587895;2.9876;0.630635;
00000567.png  590.86,231.17;1370.32,277.85;1383.4,911.5;561.39,900.77;0;0.251743;-0.204624,0.725201,0.0700008;0.510703,-0.438184,0.54636,0.498666;0.094082,-0.199348,-0.135984;-0.00891055,0.00502377,-0.00333545;2.98625;0.684841;
